SP2 Parser Failure
    4	57761742 57758996
    6	57835304 57835278
    9	57852587
    15	57864739f
    17	57881710
    22	57810630 57788142 57771494 57772436 57805827 57788119
    35	57836211
    41	57787392
    75	57849358
    140	57846563 57773098
    158	57805772
    265	57829605 57831298
    385	57842861f 57841572f 57867535f

Unidentified
2	57802540 57881480 57827231 57777352 57748003 57774574 57853584 57748105 57750505 57757825 57816865 57794746 57795256 57810656 57819596 57846066 57852776 57852786 57860016 57810147 57814057 57878137 57884847 57798528 57860048 57886968 57798589 57810459 57819589
4	57810151 57884762 57883464 57884406
6	57758411 57828251 57758393 57759723 57767023 57736194 57830364 57767405 57774135 57835256 57828167 57846907 57811528 57738989 57758389
8	57858640 57767091 57865281 57850162 57783604 57772435 57776625 57790296 57859187 57749919
9	57849170 57872430 57779801 57832474 57786755 57790416
10	57812490 57817911 57878427 57819268 57812489 57813779 57868089
11	57772910 57772362 57772753 57801645 57860065 57772777 57804167 57801659
12	57763930 57818900 57737071 57850242 57776363 57821715 57806226 57860008 57880369
14	57809450 57834272
15	57796093 57790457 57882229
16	57784490 57816380 57790616 57867947
17	57737392 57884782
18	57748410
19	57834134 57834155
20	57774630 57820730 57831230 57875440 57774631 57818981 57774632 57798142 57774633 57826883 57832493 57881073 57774634 57812694 57873774 57774635 57795865 57829205 57873775 57774636 57798156 57814336 57854156 57774637 57775057 57797067 57832717 57875417 57886057 57783388 57776209 57805699 57813299
    22	57786180 57802340 57806330 57847030 57857910 57798791 57806331 57848701 57736382 57738562 57782192 57786162 57791272 57802382 57806332 57817882 57833522 57875102 57882912 57885942 57793973 57806333 57818623 57860503 57865293 57802314 57806334 57828744 57885784 57885944 57737995 57749265 57751635 57793795 57804545 57806335 57834325 57767076 57806336 57843746 57861036 57879366 57736747 57766427 57786138 57796568 57806328 57807428 57824848 57856318 57864248 57873898 57885938 57806329 57843969
23	57832040 57867700 57807231 57865477
24	57798750 57830460 57806311 57842412 57830494 57836886 57798748 57830468
25	57875930 57813295 57813187 57777298
26	57821492 57805544 57843596 57772178
27	57822087 57884408
28	57844560 57805981 57813551 57813731 57813811 57764012 57790992 57813232 57813682 57777443 57795873 57861233 57790984 57805534 57739055 57739215 57790497 57832117 57854177 57872217 57773788 57815888 57867468 57887498
29	57771642 57822492 57755818 57868819
30	57833172
32	57780551 57786071 57837441 57786082 57841662 57780683 57780694 57780665 57880755 57780709
35	57796850 57798330 57800580 57800620 57831950 57785751 57787971 57791891 57830921 57846701 57774032 57797302 57846702 57846892 57860742 57864242 57864342 57868202 57749093 57774003 57800593 57826953 57844633 57847343 57761284 57797044 57797264 57833824 57840804 57857084 57760295 57765085 57774015 57796435 57822025 57844635 57849555 57864215 57756056 57821156 57824496 57833866 57737257 57761707 57786947 57800567 57833837 57833847 57844637 57868587 57880457 57883017 57752378 57800608 57805788 57806978 57839858 57846408 57846958 57883028 57886678 57756049 57761279 57786939 57787929 57807369
41	57822141 57822541 57802416 57847276
42	57765912
43	57879780 57817241 57780632 57847223 57874023 57817357 57865378 57874018 57874009
44	57796815 57799139 57823659
45	57834262 57884385
46	57748980 57843701 57861131
49	57797188
50	57817460 57878172 57815163 57815486 57815897 57828807
51	57761922 57834273 57786645 57777226
52	57827513 57846695
57	57774513
77	57808397
79	57780222
81	57748387 57796778
83	57781373
90	57739933 57873714 57742585 57741168
140	57878816
151	57773386 57773387
156	57775817
157	57802779
158	57828291
161	57812816 57813129
175	57873482 57836175 57873387
180	57798005 57797927
251	57779051 57779052 57779053
255	57809920 57809899
265	57827664
268	57876675
385	57794010 57794024 57794057
386	57850450 57850449
389	57878397

Unimplemented

SP1 Possibly Timed Out
    2	57812113
    8	57841047
    11	57765001 57808642 57787565 57754958
    20	57759491 57773271 57770222 57796732 57864203 57773164 57773205 57773146 57773237
    22	57778256 57811978
    30	57769966
    43	57800261F 57800276F
