SP2 Parser Failure
4	54569651
8	54644538
9	54615452 54651123 54666754
11	54614954
17	54651710 54651662 54651325 54651368 54651649
22	54606010 54606690 54650541 54594653 54611996 54617806 54602667 54599318
24	54570400
29	54656623
35	54677995
50	54583456
140	54614210 54668112 54627244 54596035 54625118
157	54634071 54634013
166	54624511
259	54646667 54646668
267	54626826

Unidentified
2	54619170 54655780 54675170 54576811 54685291 54647022 54603403 54675164 54685694 54582866 54685256 54617788 54662768 54675178 54649779 54651459
3	54681764
4	54683810 54683821 54603452 54585083 54683815
6	54584121 54628241 54645433 54607224 54584125 54572949
8	54598541 54597612 54595176 54609437 54579789
9	54580191 54578142 54612562 54635652 54651312 54616184 54628295 54592366 54643046 54588378 54640998 54626959
10	54646434 54633507 54651748
11	54662030 54601091 54603161 54662711 54646512 54620853 54662933 54591974 54662124 54663334 54645616 54680656 54603347 54615338
12	54626720 54665515 54688185 54560068 54641988
14	54684280 54589704 54491095 54595935 54569367
15	54615651 54677922 54650754 54663324 54650725
16	54629859 54637389
17	54617500 54577695
19	54623421 54585253 54610474 54679864 54652585 54615426 54615427
20	54640910 54673640 54634241 54561272 54652252 54467813 54579643 54628523 54581854 54591755 54647365 54676435 54559817 54560957 54676427
22	54561240 54571530 54598190 54668410 54579191 54583681 54618901 54650521 54654011 54675441 54679101 54587382 54675462 54586573 54588263 54613803 54625733 54559965 54588265 54601845 54612395 54630785 54661775 54587506 54611166 54594707 54597927 54619397 54570269 54589209 54598169
24	54648712 54676462 54627883 54647383 54570164 54558838
25	54629110 54674987
26	54669102 54624275 54595367
27	54580901 54679532
28	54561280 54591850 54638300 54687330 54583661 54645001 54628482 54681092 54598373 54607153 54624643 54637834 54649774 54674684 54637825 54688355 54619647 54660487 54648629
29	54587471 54587933
30	54665395 54613237 54685067
32	54589385 54619215 54620586 54619238 54625299
35	54578270 54627550 54640660 54650250 54655040 54660410 54674420 54681490 54583531 54587821 54627551 54633971 54650251 54627552 54639492 54669402 54681512 54583623 54589923 54597103 54627553 54643973 54668593 54559884 54587974 54632734 54640694 54676404 54586065 54597215 54606055 54611485 54640135 54640365 54663925 54664675 54679535 54655066 54682256 54582437 54596807 54641837 54558978 54559218 54570028 54570848 54599518 54621628 54626268 54626718 54627548 54640418 54576629 54588049 54588079 54627549 54655049 54677769
41	54580670 54657062
42	54582983 54636873 54636888
43	54576991 54599941 54578252 54633432 54648453 54592297 54651307 54658667 54686277
44	54605591 54667315 54584266
45	54588493 54571989 54671459
46	54599111 54569502 54599124
50	54595894 54633357
51	54634853 54678695
72	54640221
75	54622157
77	54654275
81	54609556
140	54641012 54677012 54677006 54677017 54677029
151	54583270
156	54586598 54617958
175	54684303
193	54628435
195	54640748
244	54600624
255	54584393
268	54680112 54584114 54646604 54583446 54583516
385	54637760

Unimplemented

SP1 Possibly Timed Out
8	54569432 54645409 54641139
    11	54664211 54685332 54687508 54687978 54655979
    19	54580700f 54596552f 54579053f 54666703f 54677133f 54599984f 54584585f 54604026f 54616586f 54581087f 54583717f 54603887f 54679867f 54652778 54583059
20	54587803 54602643
22	54646442
30	54682782 54647774 54677485
31	54613362
32	54659170 54620633 54620653 54620605
    35	54639350 54639372 54639383 54639327 54639337 54639387 54639319 54639359 54639399
43	54683812 54686425
140	54666082
