SP2 Parser Failure
    11	53040611
    17	53013474 53032906
    26	53049774
    28	53002335
    50	53023883f 53026647f
    81	53036671 53036627
    139	53042469
    173	53018154f 53018178f
    196	52972499
    251	53018701f 53018861f 53018713f 53018844

Unidentified
    2	52998392 52968033 53023204 53057915 53021776 53055646 52946437 53021787 52945178 52970019 53033429
    3	53002017
    6	52968611 53035321 52947683 52968583 52974693 53061443 52946404 52990264 52990425 53001196 53036186 52946417 52964127 53033477 52947658 52991308 53036858 52946419 52976869 53034139
    8	53023460 53055800 53022371 53059631 53023212 53021433 52959165 53030407 52993348 52994288 53002968 53022888 53037298 52994319 52994469 53018709 53022229
    9	52981432 52990664 52955316 52977278
    10	53040841 53002582 53055326 53054357
    11	52978930 53056630 53056700 52959021 52957233 53036165 53014386 53017676 52975628 53022179 53041619 53053719
    12	53049313 53001408 53007918
    14	52970709
    15	53049816 52980247
    16	53058313 53058358
    17	52967007 53004447
    20	53018350 53034100 52972181 53013381 53041011 53046871 53008232 53018142 53060012 52944723 53029813 53056373 52964654 53017274 53030594 52996996 53026626 53033556 53044346 52972527 53003297 53041919
21	53040767
22	52969140 53023080 53048940 52969151 52973371 52991971 53001161 53023001 53025911 53059541 52969142 52969143 52975583 53058843 52961954 52973334 52962005 53048845 52955156 52969136 53025436 52946877 52955067 52969127 52973367 53001167 53058237 52945398 52969128 52969138 52969148 52969158 52973518 52969139 53002399 53025449 53026649
23	52945790 53007580 52958301 52974602 52983142
24	52985122 53054012 52972315
25	53018591 52945446 52945536 52993828
26	52968192 52972926
27	53000504
    28	53041270 52998211 52999072 52958673 52956794 53009414 52976525 53038235 53058755 53041266 53057826 53039527 53041357 52985229 52988349 53041259
    29	53038010 53011891 52971682 53014473 53011434 53011554 52971815 53053549
30	52974340 52994060 53028160 52974375 53012928 53023678
35	52977570 53033080 53050980 52994701 53027641 53033061 53037871 53050991 52945202 52969262 53028412 53032402 53033072 53037892 53040382 53058462 52982683 53011383 53036813 53056243 52946834 52965264 53041374 52969265 52972345 53049665 53056155 53059785 52946936 52958466 52970116 52991086 53053376 53020547 53055567 53059207 52995158 53020278 53056368 53058338 53000289 53034009 53037879 53043159 53044879
41	53054773
42	53018583
    43	53054340 52957851 52981611 53061251 52981672 53058863 52981624 52981586 52946477 52981647 52981568 52981658 52946539 52975509 52981599
44	52963671
    46	53026426 52968697 52969688 53004188 53040419 53059679
49	53020604 53020618
50	53043740
    51	53055640 53061581 53040926 53016128 53052008 53056499 53056709
57	53012712 53051988
58	53019024
72	52992069
75	52979838
76	52988322
    77	52994830 52994850 52994781 52994763 52968594 52994864 52968647
79	53005431
140	53038704
161	53025276
162	52974733
192	53022362 53022423
196	53042036
    268	53027360 53053170 53052825 53029636 53033507 52959158 53005928

Unimplemented
    46	53020250

SP1 Possibly Timed Out
    2	53041276P
    6	52946088
    8	53010774
    12	53029637
    20	52974273 53020859
    21	52998791P 52998797P 52998779P
    30	52959884
    140	53058901 53059351
